Sport,Dport,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcLoad,DstLoad,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,sMeanPktSz,dMeanPktSz,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,Trans,Min,Max,Sum,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_telnet_login,label,SrcAddr_192.170.11.129,SrcAddr_192.170.11.171,SrcAddr_192.170.11.197,SrcAddr_192.170.11.27,SrcAddr_192.170.11.53,SrcAddr_fe80::b0c5:54ff:fe44:fa4,DstAddr_192.170.11.1,DstAddr_192.170.11.129,DstAddr_192.170.11.171,DstAddr_192.170.11.197,DstAddr_192.170.11.27,DstAddr_192.170.11.53,DstAddr_224.0.0.251,DstAddr_239.255.255.250,DstAddr_255.255.255.255,DstAddr_52.1.151.223,DstAddr_54.193.40.55,DstAddr_54.194.162.25,DstAddr_54.194.162.61,DstAddr_54.254.189.170,DstAddr_54.254.189.209,DstAddr_54.254.191.105,DstAddr_ff02::1,DstAddr_ff02::16,DstAddr_ff02::1:2,DstAddr_ff02::c,DstAddr_ff02::fb,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_0,State_1,State_2,State_3,State_4
3437.0,52983.0,0.0,0,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,263.0,0.0,1,0,1608652990.84176,1608652990.84176,2,0,0,0,0,1.0,0.0,0.0,0.0,2,16,0,0,0,3,20,20,3,1,3,3,0,normal,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37308.0,52983.0,0.0,2,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,467.0,0.0,1,0,1608652991.143566,1608652991.143566,2,0,0,0,0,1.0,0.0,0.0,0.0,2,17,0,0,0,5,21,21,5,1,1,3,0,normal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1900.0,1900.0,2.003094,3,0,1.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,176.5,0.0,1,0,1608653026.337025,1608653028.340119,2,0,0,0,0,1.0,2.003094,2.003094,2.003094,2,6,0,0,0,23,4,4,23,4,1,4,0,normal,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
49162.0,3614.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,1,0,1608653031.150096,1608653031.150096,2,0,0,0,0,1.0,0.0,0.0,0.0,2,18,0,0,0,23,6,6,23,3,1,3,0,normal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3603.0,1900.0,0.0,0,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,263.0,0.0,1,0,1608653035.233572,1608653035.233572,2,0,0,0,0,1.0,0.0,0.0,0.0,2,19,0,0,0,7,24,24,7,1,4,4,0,normal,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3437.0,1900.0,0.0,0,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,263.0,0.0,1,0,1608653035.234131,1608653035.234131,2,0,0,0,0,1.0,0.0,0.0,0.0,2,20,0,0,0,4,25,25,4,1,4,4,0,normal,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3179.0,1900.0,0.0,0,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,262.0,0.0,1,0,1608653035.234746,1608653035.234746,2,0,0,0,0,1.0,0.0,0.0,0.0,2,21,0,0,0,5,26,26,5,1,4,4,0,normal,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52578.0,1900.0,0.0,2,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,467.0,0.0,1,0,1608653035.23749,1608653035.23749,2,0,0,0,0,1.0,0.0,0.0,0.0,2,22,0,0,0,6,27,27,6,1,1,4,0,normal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
43953.0,49152.0,0.02738,3,0,64.0,64.0,0,0,0,0,6,5,17832.0,14480.0,1294380838.0,3240815446.0,81.5,335.399994,0,0,1608653038.231276,1608653038.258656,1,0,0,0,0,1.0,0.02738,0.02738,0.02738,2,2,0,0,0,28,7,7,29,1,1,3,0,normal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35670.0,8995.0,1.014528,3,0,64.0,64.0,0,0,0,0,6,5,16540.0,5792.0,3612050478.0,3910157632.0,79.833336,284.0,1,0,1608653038.257851,1608653039.272379,1,0,0,0,0,1.0,1.014528,1.014528,1.014528,2,3,0,0,0,29,6,6,30,1,1,2,0,normal,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
